Date,Status,Fulfilment,Ship_Service_Level,Category,Size,Amount,Ship_City,Ship_State,B2B
2022-04-30,Shipped,Amazon,Expedited,Top,XS,432,Nagpur,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XXL,376,Rangareddy,Telangana,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XL,399,Chennai,Tamil Nadu,False
2022-04-30,Shipped,Amazon,Expedited,Top,3XL,279,Bengaluru,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Top,XXL,469,Hyderabad,Telangana,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,M,487,Hyderabad,Telangana,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XXL,486,Bassein,Maharashtra,False
2022-04-30,Cancelled,Amazon,Expedited,Kurta,XS,329,Vellore,Tamil Nadu,False
2022-04-30,Cancelled,Amazon,Expedited,Kurta,XS,318,Vellore,Tamil Nadu,False
2022-04-30,Shipped,Merchant,Standard,Kurta,XXL,499,Ambasamudram,Tamil Nadu,False
2022-04-30,Shipped,Merchant,Standard,Kurta,XL,487,Chennai,Tamil Nadu,False
2022-04-30,Shipped,Merchant,Standard,Kurta,XL,363,Chennai,Tamil Nadu,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XL,363,Erode,Tamil Nadu,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,M,458,Bengaluru,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XXL,393,Bengaluru,Karnataka,False
2022-04-30,Shipped,Merchant,Standard,Kurta,L,487,Hyderabad,Telangana,False
2022-04-30,Shipped,Merchant,Standard,Kurta,3XL,363,Bengaluru,Karnataka,False
2022-04-30,Shipped,Merchant,Standard,Kurta,S,316,Dharwad,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,M,376,Karimnagar,Telangana,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,L,459,Mumbai 400101,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XS,329,Ponneri,Tamil Nadu,False
2022-04-30,Shipped,Amazon,Expedited,Top,S,487,Hyderabad,Telangana,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,L,352,Bengaluru,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XL,442,Bengaluru,Karnataka,False
2022-04-30,Cancelled,Amazon,Expedited,Kurta,S,283,Ponneri,Tamil Nadu,False
2022-04-30,Shipped,Amazon,Expedited,Blouse,Free,419,Hyderabad,Telangana,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,L,399,Hyderabad,Telangana,False
2022-04-30,Shipped,Merchant,Standard,Kurta,S,399,Hyderabad,Telangana,False
2022-04-30,Shipped,Amazon,Expedited,Set,XS,499,Mira Road,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XL,414,Bengaluru,Karnataka,False
2022-04-30,Shipped,Merchant,Standard,Kurta,M,459,Bengaluru,Karnataka,False
2022-04-30,Cancelled,Amazon,Expedited,Kurta,XL,363,Kothagudem,Telangana,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XXL,295,Chennai,Tamil Nadu,False
2022-04-30,Shipped,Merchant,Standard,Kurta,XL,363,Chennai,Tamil Nadu,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XXL,399,Padur,Tamil Nadu,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XL,487,Padur,Tamil Nadu,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XXL,399,Mumbai,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Top,L,339,Kalyan,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,S,291,Bengaluru,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,S,276,Bengaluru,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,S,283,Bengaluru,Karnataka,False
2022-04-30,Shipped,Merchant,Standard,Kurta,S,295,Bengaluru,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,3XL,399,Pulgaon,Maharashtra,False
2022-04-30,Shipped,Merchant,Standard,Western Dress,L,413,Nagpur,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,L,458,Bengaluru,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,3XL,399,Mumbai,Maharashtra,False
2022-04-30,Shipped,Merchant,Standard,Kurta,L,280,Madikeri,Karnataka,True
2022-04-30,Shipped,Amazon,Expedited,Kurta,M,249,Madikeri,Karnataka,True
2022-04-30,Shipped,Merchant,Standard,Kurta,M,475,Pune,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,3XL,471,Hyderabad,Telangana,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,L,399,Nagpur,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XL,475,Chennai,Tamil Nadu,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XL,475,Chennai,Tamil Nadu,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XXL,486,"Kamatgi,Hunugund Taluk,Bagalkot District",Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XXL,432,Chennai,Tamil Nadu,False
2022-04-30,Shipped,Merchant,Standard,Kurta,S,249,Coimbatore,Tamil Nadu,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XXL,499,Kushalanagara,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XXL,432,Chennai,Tamil Nadu,False
2022-04-30,Shipped,Merchant,Standard,Kurta,M,474,Bengaluru,Karnataka,False
2022-04-30,Shipped,Merchant,Standard,Top,XXL,413,Thane (W),Maharashtra,False
2022-04-30,Shipped,Merchant,Standard,Kurta,S,495,Chennai,Tamil Nadu,False
2022-04-30,Shipped,Merchant,Standard,Kurta,L,459,Mysuru,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,4XL,486,Pune,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,3XL,471,Sangli,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XL,499,Mumbai,Maharashtra,False
2022-04-30,Cancelled,Amazon,Expedited,Set,L,449,Pune,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XS,399,Nanded Waghala,Maharashtra,False
2022-04-30,Shipped,Merchant,Standard,Kurta,XL,499,Nagpur,Maharashtra,False
2022-04-30,Shipped,Merchant,Standard,Kurta,XL,499,Nagpur,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,L,406,Hyderabad,Telangana,False
2022-04-30,Shipped,Merchant,Standard,Kurta,L,362,Hyderabad,Telangana,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XXL,432,Chennai,Tamil Nadu,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XS,399,Mumbai,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XS,329,Isnapur,Telangana,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XXL,499,Pune,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Blouse,XL,460,Hyderabad,Telangana,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XL,459,Bengaluru,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XXL,487,Mumbai,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,3XL,329,Mumbai,Maharashtra,False
2022-04-30,Cancelled,Amazon,Expedited,Kurta,3XL,329,Mysore,Karnataka,False
2022-04-30,Shipped,Merchant,Standard,Kurta,L,329,Pune,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,L,399,Pune,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,3XL,376,Hyderabad,Telangana,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XXL,329,Hyderabad,Telangana,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,3XL,471,Villupuram,Tamil Nadu,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,3XL,376,Bengaluru,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,3XL,406,Bengaluru,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,S,459,Hyderabad,Telangana,False
2022-04-30,Shipped,Merchant,Standard,Kurta,XL,487,Mumbai,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XL,406,Mumbai,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Top,3XL,329,Chennai,Tamil Nadu,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,L,429,Mumbai,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,M,435,Hyderabad,Telangana,False
2022-04-30,Shipped,Merchant,Standard,Kurta,XL,280,Bengaluru,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XXL,376,Bengaluru,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XXL,329,Bengaluru,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XL,311,Bengaluru,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Set,L,478,Pune,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,L,376,Mumbai,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XL,459,Bengaluru,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,M,399,Bengaluru,Karnataka,False
2022-04-30,Cancelled,Amazon,Expedited,Set,XS,449,Coimbatore,Tamil Nadu,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,L,399,Bengaluru,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XXL,399,Chennai,Tamil Nadu,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XXL,375,Punjaipuliampatti,Tamil Nadu,False
2022-04-30,Shipped,Merchant,Standard,Kurta,XL,375,Bengaluru,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XL,435,Bengaluru,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,3XL,376,Pune,Maharashtra,False
2022-04-30,Shipped,Merchant,Standard,Kurta,XL,316,Hyderabad,Telangana,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XXL,487,Bangalore,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,L,499,Hyderabad,Telangana,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XXL,399,Bengaluru,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XXL,487,Bangalore,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XL,329,Hyderabad,Telangana,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,3XL,452,Chennai,Tamil Nadu,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XXL,399,Pune,Maharashtra,False
2022-04-30,Cancelled,Amazon,Expedited,Kurta,XL,487,Bengaluru,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,3XL,487,Bengaluru,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,3XL,376,Bengaluru,Karnataka,False
2022-04-30,Shipped,Merchant,Standard,Kurta,L,318,Mumbai,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XL,353,Kancheepuram,Tamil Nadu,False
2022-04-30,Shipped,Merchant,Standard,Kurta,S,249,Mangaluru,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Western Dress,XL,377,Hyderabad,Telangana,False
2022-04-30,Shipped,Amazon,Expedited,Blouse,Free,383,Navi Mumbai,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XS,399,Hyderabad,Telangana,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XXL,486,Bengaluru,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,L,399,Bengaluru,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,L,399,Bengaluru,Karnataka,False
2022-04-30,Shipped,Merchant,Standard,Kurta,M,487,Hyderabad,Telangana,False
2022-04-30,Shipped,Merchant,Standard,Set,XL,449,Hyderabad,Telangana,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,M,399,Pune,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,3XL,432,Bengaluru,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,L,399,Bengaluru,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XXL,329,Aurangabad,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,L,399,Hoskote,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,L,399,Bengaluru,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,L,486,Chennai,Tamil Nadu,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XS,429,Hyderabad,Telangana,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,M,458,Mumbai,Maharashtra,False
2022-04-30,Shipped,Merchant,Standard,Kurta,XL,399,Pune,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Top,XS,432,Navi Mumbai,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,M,375,Secunderabad,Telangana,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XXL,376,Hyderabad,Telangana,False
2022-04-30,Shipped,Amazon,Expedited,Set,L,499,Bangalore,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Set,3XL,476,Mandya,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,3XL,499,Akola,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Top,XL,487,Dombivli(E),Maharashtra,False
2022-04-30,Shipped,Merchant,Standard,Kurta,L,477,Pune,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Top,XXL,463,Navi Mumbai,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,3XL,399,Hyderabad,Telangana,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,M,319,Bengaluru,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,L,353,Hyderabad,Telangana,False
2022-04-30,Shipped,Amazon,Expedited,Top,M,487,Bengaluru,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Top,XXL,487,Pune,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,3XL,406,Bengaluru,Karnataka,False
2022-04-30,Shipped,Merchant,Standard,Western Dress,XXL,488,Bengaluru,Karnataka,False
2022-04-29,Shipped,Merchant,Standard,Kurta,3XL,363,Thiruvidaimarudur,Tamil Nadu,False
2022-04-29,Shipped,Amazon,Expedited,Kurta,L,429,Thane,Maharashtra,False
2022-04-29,Shipped,Amazon,Expedited,Kurta,L,399,Thane,Maharashtra,False
2022-04-29,Shipped,Merchant,Standard,Western Dress,S,413,Pudupakkam,Tamil Nadu,False
2022-04-29,Shipped,Amazon,Expedited,Kurta,XXL,442,Bengaluru,Karnataka,False
2022-04-29,Cancelled,Amazon,Expedited,Kurta,M,399,Bengaluru,Karnataka,False
2022-04-29,Shipped,Amazon,Expedited,Kurta,M,376,Bengaluru,Karnataka,False
2022-04-29,Cancelled,Amazon,Expedited,Kurta,M,376,Bengaluru,Karnataka,False
2022-04-29,Cancelled,Amazon,Expedited,Kurta,M,376,Bengaluru,Karnataka,False
2022-04-29,Shipped,Merchant,Standard,Kurta,XL,259,Chennai,Tamil Nadu,False
2022-04-29,Shipped,Amazon,Expedited,Kurta,3XL,376,Pune,Maharashtra,False
2022-04-29,Shipped,Amazon,Expedited,Top,XS,487,Satara,Maharashtra,False
2022-04-29,Shipped,Merchant,Standard,Top,M,413,Hyderabad,Telangana,False
2022-04-29,Shipped,Amazon,Expedited,Top,XXL,360,Bengaluru,Karnataka,False
2022-04-29,Shipped,Amazon,Expedited,Top,M,463,Hyderabad,Telangana,False
2022-04-29,Shipped,Amazon,Expedited,Kurta,S,295,Thane,Maharashtra,False
2022-04-29,Shipped,Amazon,Expedited,Kurta,XL,406,Thane,Maharashtra,False
2022-04-29,Shipped,Amazon,Expedited,Kurta,L,435,Coimbatore,Tamil Nadu,False
2022-04-29,Cancelled,Amazon,Expedited,Kurta,S,399,Mumbai,Maharashtra,False
2022-04-29,Shipped,Amazon,Expedited,Kurta,XXL,329,Secunderabad,Telangana,False
2022-04-29,Shipped,Amazon,Expedited,Kurta,XXL,348,Secunderabad,Telangana,False
2022-04-29,Shipped,Amazon,Expedited,Kurta,L,399,Vasai Virar,Maharashtra,False
2022-04-29,Cancelled,Amazon,Expedited,Kurta,L,345,Chennai,Tamil Nadu,False
2022-04-29,Shipped,Amazon,Expedited,Kurta,XL,363,Dobiwali,Maharashtra,False
2022-04-29,Shipped,Amazon,Expedited,Kurta,XXL,399,Wcl Umred,Maharashtra,False
2022-04-29,Shipped,Amazon,Expedited,Kurta,3XL,376,Bangalore,Karnataka,False
2022-04-29,Shipped,Amazon,Expedited,Top,XL,487,Navi Mumbai,Maharashtra,False
2022-04-29,Shipped,Amazon,Expedited,Kurta,3XL,399,Mumbai,Maharashtra,False
2022-04-29,Shipped,Amazon,Expedited,Top,3XL,463,Pune,Maharashtra,False
2022-04-29,Shipped,Amazon,Expedited,Kurta,M,399,Satara,Maharashtra,False
2022-04-29,Shipped,Amazon,Expedited,Top,S,493,Thoothukkudi,Tamil Nadu,False
